Label,Longitude,Latitude,ObjectId,x,y,Status,Size,HOA,Precinct,Type,PriceVAT,SellingPriceVAT,Bathrooms,Bedrooms,Garages,PropertyType,Photos
243,18.97086737,-33.80104243,1,18.97086737,-33.80104243,Pending,1000,Val de Vie 1,VDV I: Phase 1,Single residential,1050000,1050000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
243,18.97606497,-33.81865089,803,18.97606497,-33.81865089,Pending,1000,Val de Vie 1,VDV I: Phase 1,Single residential,1050000,1050000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
243,18.96470519,-33.80986232,1449,18.96470519,-33.80986232,Pending,1000,Val de Vie 1,VDV I: Phase 1,Single residential,1050000,1050000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
51,18.96750179,-33.7941536,86,18.96750179,-33.7941536,Transferred,1952,Val de Vie 1,VDV I: Phase 1,Single residential,4200000,4200000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
51,18.96401461,-33.8097175,1961,18.96401461,-33.8097175,Transferred,1952,Val de Vie 1,VDV I: Phase 1,Single residential,4200000,4200000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
18,18.98295004,-33.81544914,1295,18.98295004,-33.81544914,Transferred,0,,,,,,,,,Stand,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
18,18.96262081,-33.80900381,1494,18.96262081,-33.80900381,Transferred,0,,,,,,,,,Stand,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
267,18.97068709,-33.80305963,2,18.97068709,-33.80305963,Transferred,1001,Val de Vie 1,VDV I: Phase 1,Single residential,2400000,2400000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
267,18.97593134,-33.82216968,277,18.97593134,-33.82216968,Transferred,1001,Val de Vie 1,VDV I: Phase 1,Single residential,2400000,2400000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
267,18.96670975,-33.80963528,1457,18.96670975,-33.80963528,Transferred,1001,Val de Vie 1,VDV I: Phase 1,Single residential,2400000,2400000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
52,18.96757334,-33.79383633,428,18.96757334,-33.79383633,Transferred,1960,Val de Vie 1,VDV I: Phase 1,Single residential,200000,200000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
52,18.982659,-33.81748337,1291,18.982659,-33.81748337,Transferred,1960,Val de Vie 1,VDV I: Phase 1,Single residential,200000,200000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
52,18.96416326,-33.80974943,1958,18.96416326,-33.80974943,Transferred,1960,Val de Vie 1,VDV I: Phase 1,Single residential,200000,200000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
270,18.97042608,-33.80242613,3,18.97042608,-33.80242613,Transferred,1215,Val de Vie 1,VDV I: Phase 1,Single residential,1900000,1900000,5,5,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
270,18.97502578,-33.82186497,661,18.97502578,-33.82186497,Transferred,1215,Val de Vie 1,VDV I: Phase 1,Single residential,1900000,1900000,5,5,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
270,18.96620752,-33.80959851,1471,18.96620752,-33.80959851,Transferred,1215,Val de Vie 1,VDV I: Phase 1,Single residential,1900000,1900000,5,5,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
55,18.96825141,-33.79314978,404,18.96825141,-33.79314978,Transferred,1294,Val de Vie 1,VDV I: Phase 1,Single residential,2100000,2100000,4,4,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
55,18.98215835,-33.81709069,1667,18.98215835,-33.81709069,Transferred,1294,Val de Vie 1,VDV I: Phase 1,Single residential,2100000,2100000,4,4,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
55,18.96402895,-33.8099847,1993,18.96402895,-33.8099847,Transferred,1294,Val de Vie 1,VDV I: Phase 1,Single residential,2100000,2100000,4,4,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
56,18.96853623,-33.79309512,411,18.96853623,-33.79309512,Transferred,1053,Val de Vie 1,VDV I: Phase 1,Single residential,1100000,1100000,3,3,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
56,18.96387206,-33.809951,1512,18.96387206,-33.809951,Transferred,1053,Val de Vie 1,VDV I: Phase 1,Single residential,1100000,1100000,3,3,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
56,18.98201589,-33.81695347,1692,18.98201589,-33.81695347,Transferred,1053,Val de Vie 1,VDV I: Phase 1,Single residential,1100000,1100000,3,3,2,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
57,18.96881706,-33.79313606,403,18.96881706,-33.79313606,Transferred,1053,Val de Vie 1,VDV I: Phase 1,Single residential,1400000,1400000,,,,House,https://i.ibb.co/dmKCYhM/Aerial-View.jpg|https://i.ibb.co/q9vVY6h/1M8A3115.jpg|https://i.ibb.co/CbkwgzP/Sunset-View.jpg
